instrument,trading_day,update_time_raw,turnover,volume,last_price,open_interest,upper_limit_price,lower_limit_price,local_timestamp_us,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,bid_volume_1,bid_volume_2,bid_volume_3,bid_volume_4,bid_volume_5,ask_volume_1,ask_volume_2,ask_volume_3,ask_volume_4,ask_volume_5,ms_of_day,product,contract_yyyymm,grid_phase_ms,session,is_preopen,is_in_continuous_session,is_out_of_session,exchange_ts,local_ts_utc,phase_residual_ms,is_observed_snapshot,bid_levels_present,ask_levels_present,one_sided_book,partial_depth_book,row_integrity_ok,source_file_integrity,session_boundary,interval_volume,interval_turnover,delta_open_interest,interval_vwap
IF2401,20240104,092900200,97390080.0,96,3381.6,99061,3719.6,3043.6,1704331740273687,3381.0,3380.6,3380.4,3380.2,3380.0,3381.6,3381.8,3382.0,3382.2,3383.0,1,1,4,3,5,2,7,5,1,2,34140200,IF,202401,200,PREOPEN,True,False,False,2024-01-04 09:29:00.200,2024-01-04 01:29:00.273687+00:00,0,True,5,5,False,False,True,PASS,False,,,,
IF2402,20240104,092900200,7117740.0,7,3389.4,6554,3727.0,3049.4,1704331740273705,3384.0,3383.8,3383.0,3382.0,3381.2,3389.6,3390.2,3395.4,3395.8,3396.0,2,2,2,2,1,2,1,4,2,1,34140200,IF,202402,200,PREOPEN,True,False,False,2024-01-04 09:29:00.200,2024-01-04 01:29:00.273705+00:00,0,True,5,5,False,False,True,PASS,False,,,,
IF2403,20240104,092900200,18323280.0,18,3393.2,101109,3734.4,3055.6,1704331740277114,3393.2,3393.0,3392.2,3391.2,3391.0,3393.6,3393.8,3394.6,3395.0,3395.2,2,2,25,2,3,1,1,4,1,1,34140200,IF,202403,200,PREOPEN,True,False,False,2024-01-04 09:29:00.200,2024-01-04 01:29:00.277114+00:00,0,True,5,5,False,False,True,PASS,False,,,,
IF2406,20240104,092900200,12175200.0,12,3382.0,62737,3728.0,3050.4,1704331740277131,3381.4,3381.0,3380.4,3380.2,3380.0,3382.0,3384.0,3385.0,3386.0,3387.8,1,1,4,1,3,11,20,4,8,4,34140200,IF,202406,200,PREOPEN,True,False,False,2024-01-04 09:29:00.200,2024-01-04 01:29:00.277131+00:00,0,True,5,5,False,False,True,PASS,False,,,,
IF2401,20240104,093000200,128826300.0,127,3379.0,99057,3719.6,3043.6,1704331800337619,3379.0,3378.6,3378.4,3378.2,3378.0,3379.8,3380.0,3380.6,3380.8,3381.0,3,1,1,8,5,4,1,2,2,26,34200200,IF,202401,200,AM,False,True,False,2024-01-04 09:30:00.200,2024-01-04 01:30:00.337619+00:00,0,True,5,5,False,False,True,PASS,True,,,,
IF2402,20240104,093000200,7117740.0,7,3389.4,6554,3727.0,3049.4,1704331800337629,3385.0,3384.2,3384.0,3383.8,3383.0,3390.2,3395.4,3396.0,3396.8,3397.0,1,1,2,1,2,1,4,1,1,1,34200200,IF,202402,200,AM,False,True,False,2024-01-04 09:30:00.200,2024-01-04 01:30:00.337629+00:00,0,True,5,5,False,False,True,PASS,True,,,,
IF2403,20240104,093000200,23413320.0,23,3393.0,101110,3734.4,3055.6,1704331800337637,3393.0,3392.6,3392.2,3392.0,3391.2,3395.0,3395.2,3395.6,3396.0,3396.2,1,1,25,1,2,1,1,1,2,1,34200200,IF,202403,200,AM,False,True,False,2024-01-04 09:30:00.200,2024-01-04 01:30:00.337637+00:00,0,True,5,5,False,False,True,PASS,True,,,,
IF2406,20240104,093000200,24350400.0,24,3382.0,62738,3728.0,3050.4,1704331800337645,3383.8,3383.6,3383.4,3383.2,3383.0,3384.0,3385.0,3386.0,3388.0,3388.8,2,1,1,15,3,20,4,8,2,2,34200200,IF,202406,200,AM,False,True,False,2024-01-04 09:30:00.200,2024-01-04 01:30:00.337645+00:00,0,True,5,5,False,False,True,PASS,True,,,,
IF2401,20240104,093000700,184578120.0,182,3379.0,99025,3719.6,3043.6,1704331800859599,3378.0,3377.8,3377.6,3377.4,3377.2,3379.0,3379.6,3379.8,3380.0,3380.2,3,1,2,2,3,2,4,4,3,1,34200700,IF,202401,200,AM,False,True,False,2024-01-04 09:30:00.700,2024-01-04 01:30:00.859599+00:00,0,True,5,5,False,False,True,PASS,False,55.0,55751820.0,-32.0,3378.898181818182
IF2402,20240104,093000700,7117740.0,7,3389.4,6554,3727.0,3049.4,1704331800859608,3385.4,3385.2,3385.0,3384.2,3384.0,3387.8,3388.0,3390.0,3395.4,3396.0,1,2,1,1,2,2,1,5,4,1,34200700,IF,202402,200,AM,False,True,False,2024-01-04 09:30:00.700,2024-01-04 01:30:00.859608+00:00,0,True,5,5,False,False,True,PASS,False,0.0,0.0,0.0,
